runtime,ftime,model,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,station,t06,t12
2023-06-01 12:00:00,2023-06-01 18:00:00,GFS,,86,65,SC,130,6,,,,,1.0,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-01 21:00:00,GFS,,85,65,BK,160,7,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-02 00:00:00,GFS,,81,66,BK,200,5,4.0,,0.0,,17.0,0.0,,,,8,7,N ,,,,KBPT,17/0,
2023-06-01 12:00:00,2023-06-02 03:00:00,GFS,,74,69,CL,0,0,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-02 06:00:00,GFS,,72,69,CL,0,0,4.0,,0.0,,7.0,0.0,,,,8,7,N ,,,,KBPT,7/0,
2023-06-01 12:00:00,2023-06-02 09:00:00,GFS,,71,68,CL,20,1,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-02 12:00:00,GFS,69.0,71,68,CL,20,2,0.0,4.0,0.0,0.0,2.0,0.0,,,,8,7,N ,,,,KBPT,2/0,
2023-06-01 12:00:00,2023-06-02 15:00:00,GFS,,82,69,FW,70,6,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-02 18:00:00,GFS,,86,66,SC,100,5,1.0,,0.0,,5.0,0.0,,,,8,7,N ,,,,KBPT,5/0,
2023-06-01 12:00:00,2023-06-02 21:00:00,GFS,,87,66,SC,170,6,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-03 00:00:00,GFS,89.0,83,68,FW,200,6,6.0,9.0,0.0,0.0,3.0,6.0,,,,8,7,N ,,,,KBPT,3/6,
2023-06-01 12:00:00,2023-06-03 03:00:00,GFS,,75,70,SC,210,2,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-03 06:00:00,GFS,,73,70,BK,320,1,4.0,,0.0,,3.0,6.0,,,,8,7,N ,,,,KBPT,3/6,
2023-06-01 12:00:00,2023-06-03 09:00:00,GFS,,71,69,SC,330,2,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-03 12:00:00,GFS,70.0,71,69,CL,360,2,1.0,4.0,0.0,0.0,4.0,2.0,,,,8,7,N ,,,,KBPT,4/2,
2023-06-01 12:00:00,2023-06-03 15:00:00,GFS,,82,70,CL,10,4,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-03 18:00:00,GFS,,85,67,SC,290,4,1.0,,0.0,,14.0,2.0,,,,8,7,N ,,,,KBPT,14/2,
2023-06-01 12:00:00,2023-06-03 21:00:00,GFS,,86,67,SC,240,6,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 12:00:00,2023-06-04 00:00:00,GFS,89.0,83,69,OV,340,7,41.0,41.0,1.0,0.0,41.0,10.0,,55.0,,8,7,N ,,,,KBPT,41/10,
2023-06-01 12:00:00,2023-06-04 06:00:00,GFS,,69,68,CL,10,2,21.0,,0.0,,10.0,15.0,,,,8,7,N ,,,,KBPT,10/15,
2023-06-01 12:00:00,2023-06-04 12:00:00,GFS,67.0,70,69,FW,10,4,11.0,24.0,0.0,0.0,15.0,1.0,,,,8,7,N ,,,,KBPT,15/1,
2023-06-01 18:00:00,2023-06-02 00:00:00,GFS,,81,69,SC,190,5,,,,,2.0,,2.0,,,8,7,N ,,,,KBPT,,
2023-06-01 18:00:00,2023-06-02 03:00:00,GFS,,74,69,CL,260,1,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 18:00:00,2023-06-02 06:00:00,GFS,,72,69,CL,10,1,1.0,,0.0,,2.0,0.0,,,,8,7,N ,,,,KBPT,2/0,
2023-06-01 18:00:00,2023-06-02 09:00:00,GFS,,71,68,CL,360,1,,,,,,,,,,8,7,N ,,,,KBPT,,
2023-06-01 18:00:00,2023-06-02 12:00:00,GFS,69.0,71,68,CL,10,2,0.0,1.0,0.0,0.0,1.0,0.0,,,,8,7,N ,,,,KBPT,1/0,
