runtime,ftime,model,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,station,t06,t12
2023-06-01 12:00:00,2023-06-01 18:00:00,GFS,,86,70,SC,140,10,,,,,2.0,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-01 21:00:00,GFS,,86,69,FW,140,10,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-02 00:00:00,GFS,,83,69,FW,140,8,0.0,,0.0,,4.0,0.0,,,,8,7,N ,,,,KGLS,4/0,
2023-06-01 12:00:00,2023-06-02 03:00:00,GFS,,79,69,CL,160,5,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-02 06:00:00,GFS,,78,70,CL,110,3,2.0,,0.0,,0.0,0.0,,,,8,7,N ,,,,KGLS,0/0,
2023-06-01 12:00:00,2023-06-02 09:00:00,GFS,,78,70,CL,110,3,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-02 12:00:00,GFS,76.0,77,70,CL,80,4,0.0,2.0,0.0,0.0,1.0,1.0,,,,8,7,N ,,,,KGLS,1/1,
2023-06-01 12:00:00,2023-06-02 15:00:00,GFS,,82,71,FW,90,6,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-02 18:00:00,GFS,,85,70,FW,140,7,2.0,,0.0,,3.0,1.0,,,,8,7,N ,,,,KGLS,3/1,
2023-06-01 12:00:00,2023-06-02 21:00:00,GFS,,85,69,CL,150,9,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-03 00:00:00,GFS,87.0,82,70,CL,170,7,3.0,7.0,0.0,0.0,0.0,0.0,,,,8,7,N ,,,,KGLS,0/0,
2023-06-01 12:00:00,2023-06-03 03:00:00,GFS,,80,70,FW,170,6,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-03 06:00:00,GFS,,79,71,SC,200,5,3.0,,0.0,,1.0,5.0,,,,8,7,N ,,,,KGLS,1/5,
2023-06-01 12:00:00,2023-06-03 09:00:00,GFS,,78,71,SC,290,4,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-03 12:00:00,GFS,77.0,78,72,CL,360,4,1.0,3.0,0.0,0.0,2.0,2.0,,,,8,7,N ,,,,KGLS,2/2,
2023-06-01 12:00:00,2023-06-03 15:00:00,GFS,,82,72,CL,70,5,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-03 18:00:00,GFS,,84,70,CL,160,6,0.0,,0.0,,6.0,2.0,,,,8,7,N ,,,,KGLS,6/2,
2023-06-01 12:00:00,2023-06-03 21:00:00,GFS,,85,69,CL,170,8,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 12:00:00,2023-06-04 00:00:00,GFS,87.0,82,70,FW,60,7,21.0,21.0,0.0,0.0,18.0,10.0,,26.0,,8,7,N ,,,,KGLS,18/10,
2023-06-01 12:00:00,2023-06-04 06:00:00,GFS,,77,70,SC,350,4,14.0,,0.0,,10.0,12.0,,,,8,7,N ,,,,KGLS,10/12,
2023-06-01 12:00:00,2023-06-04 12:00:00,GFS,74.0,75,70,FW,360,6,5.0,19.0,0.0,0.0,12.0,2.0,,,,8,7,N ,,,,KGLS,12/2,
2023-06-01 18:00:00,2023-06-02 00:00:00,GFS,,81,68,CL,150,9,,,,,3.0,,3.0,,,8,7,N ,,,,KGLS,,
2023-06-01 18:00:00,2023-06-02 03:00:00,GFS,,79,69,CL,150,5,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 18:00:00,2023-06-02 06:00:00,GFS,,78,69,CL,150,3,1.0,,0.0,,0.0,0.0,,,,8,7,N ,,,,KGLS,0/0,
2023-06-01 18:00:00,2023-06-02 09:00:00,GFS,,77,69,CL,140,3,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 18:00:00,2023-06-02 12:00:00,GFS,76.0,77,70,CL,90,3,0.0,1.0,0.0,0.0,0.0,0.0,,,,8,7,N ,,,,KGLS,0/0,
2023-06-01 18:00:00,2023-06-02 15:00:00,GFS,,83,70,CL,100,5,,,,,,,,,,8,7,N ,,,,KGLS,,
2023-06-01 18:00:00,2023-06-02 18:00:00,GFS,,85,69,CL,140,7,0.0,,0.0,,2.0,2.0,,,,8,7,N ,,,,KGLS,2/2,
2023-06-01 18:00:00,2023-06-02 21:00:00,GFS,,86,69,CL,150,10,,,,,,,,,,8,7,N ,,,,KGLS,,
