holiday_name,date
New Year’s Day,2023-01-02
"Birthday of Martin Luther King, Jr.",2023-01-16
Washington’s Birthday,2023-02-20
Memorial Day,2023-05-29
Juneteenth National Independence Day,2023-06-19
Independence Day,2023-07-04
Labor Day,2023-09-04
Columbus Day,2023-10-09
Veterans Day,2023-11-10
Thanksgiving Day,2023-11-23
Christmas Day,2023-12-25
New Year’s Day,2024-01-01
"Birthday of Martin Luther King, Jr.",2024-01-15
Washington’s Birthday,2024-02-19
Memorial Day,2024-05-27
Juneteenth National Independence Day,2024-06-19
Independence Day,2024-07-04
Labor Day,2024-09-02
Columbus Day,2024-10-14
Veterans Day,2024-11-11
Thanksgiving Day,2024-11-28
Christmas Day,2024-12-25
