day,school_category,business_category
2023-06-01,summer_break_weekday,normal_business_day
2023-06-02,summer_break_weekday,normal_business_day
2023-06-03,weekend_school_break,weekend
2023-06-04,weekend_school_break,weekend
2023-06-05,summer_break_weekday,normal_business_day
2023-06-06,summer_break_weekday,normal_business_day
2023-06-07,summer_break_weekday,normal_business_day
2023-06-08,summer_break_weekday,normal_business_day
2023-06-09,summer_break_weekday,normal_business_day
2023-06-10,weekend_school_break,weekend
2023-06-11,weekend_school_break,weekend
2023-06-12,summer_break_weekday,normal_business_day
2023-06-13,summer_break_weekday,normal_business_day
2023-06-14,summer_break_weekday,normal_business_day
2023-06-15,summer_break_weekday,normal_business_day
2023-06-16,summer_break_weekday,normal_business_day
2023-06-17,weekend_school_break,weekend
2023-06-18,weekend_school_break,weekend
2023-06-19,summer_break_weekday,major_business_closure
2023-06-20,summer_break_weekday,normal_business_day
2023-06-21,summer_break_weekday,normal_business_day
2023-06-22,summer_break_weekday,normal_business_day
2023-06-23,summer_break_weekday,normal_business_day
2023-06-24,weekend_school_break,weekend
2023-06-25,weekend_school_break,weekend
2023-06-26,summer_break_weekday,normal_business_day
2023-06-27,summer_break_weekday,normal_business_day
2023-06-28,summer_break_weekday,normal_business_day
2023-06-29,summer_break_weekday,normal_business_day
2023-06-30,summer_break_weekday,normal_business_day
2023-07-01,weekend_school_break,weekend
2023-07-02,weekend_school_break,weekend
2023-07-03,summer_break_weekday,normal_business_day
2023-07-04,summer_break_weekday,major_business_closure
2023-07-05,summer_break_weekday,normal_business_day
2023-07-06,summer_break_weekday,normal_business_day
2023-07-07,summer_break_weekday,normal_business_day
2023-07-08,weekend_school_break,weekend
2023-07-09,weekend_school_break,weekend
2023-07-10,summer_break_weekday,normal_business_day
2023-07-11,summer_break_weekday,normal_business_day
2023-07-12,summer_break_weekday,normal_business_day
2023-07-13,summer_break_weekday,normal_business_day
2023-07-14,summer_break_weekday,normal_business_day
2023-07-15,weekend_school_break,weekend
2023-07-16,weekend_school_break,weekend
2023-07-17,summer_break_weekday,normal_business_day
2023-07-18,summer_break_weekday,normal_business_day
2023-07-19,summer_break_weekday,normal_business_day
2023-07-20,summer_break_weekday,normal_business_day
2023-07-21,summer_break_weekday,normal_business_day
2023-07-22,weekend_school_break,weekend
2023-07-23,weekend_school_break,weekend
2023-07-24,summer_break_weekday,normal_business_day
2023-07-25,summer_break_weekday,normal_business_day
2023-07-26,summer_break_weekday,normal_business_day
2023-07-27,summer_break_weekday,normal_business_day
2023-07-28,summer_break_weekday,normal_business_day
2023-07-29,weekend_school_break,weekend
2023-07-30,weekend_school_break,weekend
2023-07-31,summer_break_weekday,normal_business_day
2023-08-01,summer_break_weekday,normal_business_day
2023-08-02,summer_break_weekday,normal_business_day
2023-08-03,summer_break_weekday,normal_business_day
2023-08-04,summer_break_weekday,normal_business_day
2023-08-05,weekend_school_break,weekend
2023-08-06,weekend_school_break,weekend
2023-08-07,summer_break_weekday,normal_business_day
2023-08-08,summer_break_weekday,normal_business_day
2023-08-09,summer_break_weekday,normal_business_day
2023-08-10,summer_break_weekday,normal_business_day
2023-08-11,summer_break_weekday,normal_business_day
2023-08-12,weekend_school_break,weekend
2023-08-13,weekend_school_break,weekend
2023-08-14,summer_break_weekday,normal_business_day
2023-08-15,summer_break_weekday,normal_business_day
2023-08-16,summer_break_weekday,normal_business_day
2023-08-17,summer_break_weekday,normal_business_day
2023-08-18,summer_break_weekday,normal_business_day
2023-08-19,weekend_school_break,weekend
2023-08-20,weekend_school_break,weekend
2023-08-21,summer_break_weekday,normal_business_day
2023-08-22,summer_break_weekday,normal_business_day
2023-08-23,summer_break_weekday,normal_business_day
2023-08-24,summer_break_weekday,normal_business_day
2023-08-25,summer_break_weekday,normal_business_day
2023-08-26,weekend_school_break,weekend
2023-08-27,weekend_school_break,weekend
2023-08-28,regular_school_day,normal_business_day
2023-08-29,regular_school_day,normal_business_day
2023-08-30,regular_school_day,normal_business_day
2023-08-31,regular_school_day,normal_business_day
2023-09-01,regular_school_day,normal_business_day
2023-09-02,weekend_school_term,weekend
2023-09-03,weekend_school_term,weekend
2023-09-04,public_holiday_school_closed,major_business_closure
2023-09-05,regular_school_day,normal_business_day
2023-09-06,regular_school_day,normal_business_day
2023-09-07,regular_school_day,normal_business_day
2023-09-08,regular_school_day,normal_business_day
2023-09-09,weekend_school_term,weekend
2023-09-10,weekend_school_term,weekend
2023-09-11,regular_school_day,normal_business_day
2023-09-12,regular_school_day,normal_business_day
2023-09-13,regular_school_day,normal_business_day
2023-09-14,regular_school_day,normal_business_day
2023-09-15,regular_school_day,normal_business_day
2023-09-16,weekend_school_term,weekend
2023-09-17,weekend_school_term,weekend
2023-09-18,regular_school_day,normal_business_day
2023-09-19,regular_school_day,normal_business_day
2023-09-20,regular_school_day,normal_business_day
2023-09-21,regular_school_day,normal_business_day
2023-09-22,regular_school_day,normal_business_day
2023-09-23,weekend_school_term,weekend
2023-09-24,weekend_school_term,weekend
2023-09-25,public_holiday_school_closed,partial_business_closure
2023-09-26,regular_school_day,normal_business_day
2023-09-27,regular_school_day,normal_business_day
2023-09-28,regular_school_day,normal_business_day
2023-09-29,regular_school_day,normal_business_day
2023-09-30,weekend_school_term,weekend
2023-10-01,weekend_school_term,weekend
2023-10-02,regular_school_day,normal_business_day
2023-10-03,regular_school_day,normal_business_day
2023-10-04,regular_school_day,normal_business_day
2023-10-05,regular_school_day,normal_business_day
2023-10-06,regular_school_day,normal_business_day
2023-10-07,weekend_school_term,weekend
2023-10-08,weekend_school_term,weekend
2023-10-09,regular_school_day,normal_business_day
2023-10-10,regular_school_day,normal_business_day
2023-10-11,regular_school_day,normal_business_day
2023-10-12,regular_school_day,normal_business_day
2023-10-13,regular_school_day,normal_business_day
2023-10-14,weekend_school_term,weekend
2023-10-15,weekend_school_term,weekend
2023-10-16,regular_school_day,normal_business_day
2023-10-17,regular_school_day,normal_business_day
2023-10-18,regular_school_day,normal_business_day
2023-10-19,regular_school_day,normal_business_day
2023-10-20,regular_school_day,normal_business_day
2023-10-21,weekend_school_term,weekend
2023-10-22,weekend_school_term,weekend
2023-10-23,regular_school_day,normal_business_day
2023-10-24,regular_school_day,normal_business_day
2023-10-25,regular_school_day,normal_business_day
2023-10-26,regular_school_day,normal_business_day
2023-10-27,regular_school_day,normal_business_day
2023-10-28,weekend_school_term,weekend
2023-10-29,weekend_school_term,weekend
2023-10-30,regular_school_day,normal_business_day
2023-10-31,regular_school_day,normal_business_day
2023-11-01,regular_school_day,normal_business_day
2023-11-02,regular_school_day,normal_business_day
2023-11-03,regular_school_day,normal_business_day
2023-11-04,weekend_school_term,weekend
2023-11-05,weekend_school_term,weekend
2023-11-06,regular_school_day,normal_business_day
2023-11-07,regular_school_day,normal_business_day
2023-11-08,regular_school_day,normal_business_day
2023-11-09,regular_school_day,normal_business_day
2023-11-10,regular_school_day,normal_business_day
2023-11-11,weekend_school_term,weekend
2023-11-12,weekend_school_term,weekend
2023-11-13,regular_school_day,normal_business_day
2023-11-14,regular_school_day,normal_business_day
2023-11-15,regular_school_day,normal_business_day
2023-11-16,regular_school_day,normal_business_day
2023-11-17,regular_school_day,normal_business_day
2023-11-18,weekend_school_term,weekend
2023-11-19,weekend_school_term,weekend
2023-11-20,thanksgiving_break_weekday,partial_business_closure
2023-11-21,thanksgiving_break_weekday,partial_business_closure
2023-11-22,thanksgiving_break_weekday,partial_business_closure
2023-11-23,public_holiday_school_closed,major_business_closure
2023-11-24,thanksgiving_break_weekday,partial_business_closure
2023-11-25,weekend_school_term,weekend
2023-11-26,weekend_school_term,weekend
2023-11-27,regular_school_day,normal_business_day
2023-11-28,regular_school_day,normal_business_day
2023-11-29,regular_school_day,normal_business_day
2023-11-30,regular_school_day,normal_business_day
2023-12-01,regular_school_day,normal_business_day
2023-12-02,weekend_school_term,weekend
2023-12-03,weekend_school_term,weekend
2023-12-04,regular_school_day,normal_business_day
2023-12-05,regular_school_day,normal_business_day
2023-12-06,regular_school_day,normal_business_day
2023-12-07,regular_school_day,normal_business_day
2023-12-08,regular_school_day,normal_business_day
2023-12-09,weekend_school_term,weekend
2023-12-10,weekend_school_term,weekend
2023-12-11,regular_school_day,normal_business_day
2023-12-12,regular_school_day,normal_business_day
2023-12-13,regular_school_day,normal_business_day
2023-12-14,regular_school_day,normal_business_day
2023-12-15,regular_school_day,normal_business_day
2023-12-16,weekend_school_term,weekend
2023-12-17,weekend_school_term,weekend
2023-12-18,regular_school_day,normal_business_day
2023-12-19,regular_school_day,normal_business_day
2023-12-20,regular_school_day,normal_business_day
2023-12-21,regular_school_day,normal_business_day
2023-12-22,winter_break_weekday,partial_business_closure
2023-12-23,weekend_school_break,weekend
2023-12-24,weekend_school_break,weekend
2023-12-25,winter_break_weekday,major_business_closure
2023-12-26,winter_break_weekday,partial_business_closure
2023-12-27,winter_break_weekday,partial_business_closure
2023-12-28,winter_break_weekday,partial_business_closure
2023-12-29,winter_break_weekday,partial_business_closure
2023-12-30,weekend_school_break,weekend
2023-12-31,weekend_school_break,weekend
2024-01-01,public_holiday_school_closed,major_business_closure
2024-01-02,winter_break_weekday,partial_business_closure
2024-01-03,winter_break_weekday,partial_business_closure
2024-01-04,winter_break_weekday,partial_business_closure
2024-01-05,winter_break_weekday,partial_business_closure
2024-01-06,weekend_school_term,weekend
2024-01-07,weekend_school_term,weekend
2024-01-08,regular_school_day,normal_business_day
2024-01-09,regular_school_day,normal_business_day
2024-01-10,regular_school_day,normal_business_day
2024-01-11,regular_school_day,normal_business_day
2024-01-12,regular_school_day,normal_business_day
2024-01-13,weekend_school_term,weekend
2024-01-14,weekend_school_term,weekend
2024-01-15,public_holiday_school_closed,partial_business_closure
2024-01-16,regular_school_day,normal_business_day
2024-01-17,regular_school_day,normal_business_day
2024-01-18,regular_school_day,normal_business_day
2024-01-19,regular_school_day,normal_business_day
2024-01-20,weekend_school_term,weekend
2024-01-21,weekend_school_term,weekend
2024-01-22,regular_school_day,normal_business_day
2024-01-23,regular_school_day,normal_business_day
2024-01-24,regular_school_day,normal_business_day
2024-01-25,regular_school_day,normal_business_day
2024-01-26,regular_school_day,normal_business_day
2024-01-27,weekend_school_term,weekend
2024-01-28,weekend_school_term,weekend
2024-01-29,regular_school_day,normal_business_day
2024-01-30,regular_school_day,normal_business_day
2024-01-31,regular_school_day,normal_business_day
2024-02-01,regular_school_day,normal_business_day
2024-02-02,regular_school_day,normal_business_day
2024-02-03,weekend_school_term,weekend
2024-02-04,weekend_school_term,weekend
2024-02-05,regular_school_day,normal_business_day
2024-02-06,regular_school_day,normal_business_day
2024-02-07,regular_school_day,normal_business_day
2024-02-08,regular_school_day,normal_business_day
2024-02-09,regular_school_day,normal_business_day
2024-02-10,weekend_school_term,weekend
2024-02-11,weekend_school_term,weekend
2024-02-12,regular_school_day,normal_business_day
2024-02-13,regular_school_day,normal_business_day
2024-02-14,regular_school_day,normal_business_day
2024-02-15,regular_school_day,normal_business_day
2024-02-16,regular_school_day,normal_business_day
2024-02-17,weekend_school_term,weekend
2024-02-18,weekend_school_term,weekend
2024-02-19,regular_school_day,normal_business_day
2024-02-20,regular_school_day,normal_business_day
2024-02-21,regular_school_day,normal_business_day
2024-02-22,regular_school_day,normal_business_day
2024-02-23,regular_school_day,normal_business_day
2024-02-24,weekend_school_term,weekend
2024-02-25,weekend_school_term,weekend
2024-02-26,regular_school_day,normal_business_day
2024-02-27,regular_school_day,normal_business_day
2024-02-28,regular_school_day,normal_business_day
2024-02-29,regular_school_day,normal_business_day
2024-03-01,regular_school_day,normal_business_day
2024-03-02,weekend_school_term,weekend
2024-03-03,weekend_school_term,weekend
2024-03-04,regular_school_day,normal_business_day
2024-03-05,regular_school_day,normal_business_day
2024-03-06,regular_school_day,normal_business_day
2024-03-07,regular_school_day,normal_business_day
2024-03-08,regular_school_day,normal_business_day
2024-03-09,weekend_school_term,weekend
2024-03-10,weekend_school_term,weekend
2024-03-11,spring_break_weekday,normal_business_day
2024-03-12,spring_break_weekday,normal_business_day
2024-03-13,spring_break_weekday,normal_business_day
2024-03-14,spring_break_weekday,normal_business_day
2024-03-15,spring_break_weekday,normal_business_day
2024-03-16,weekend_school_term,weekend
2024-03-17,weekend_school_term,weekend
2024-03-18,regular_school_day,normal_business_day
2024-03-19,regular_school_day,normal_business_day
2024-03-20,regular_school_day,normal_business_day
2024-03-21,regular_school_day,normal_business_day
2024-03-22,regular_school_day,normal_business_day
2024-03-23,weekend_school_term,weekend
2024-03-24,weekend_school_term,weekend
2024-03-25,public_holiday_school_closed,partial_business_closure
2024-03-26,regular_school_day,normal_business_day
2024-03-27,regular_school_day,normal_business_day
2024-03-28,regular_school_day,normal_business_day
2024-03-29,public_holiday_school_closed,partial_business_closure
2024-03-30,weekend_school_term,weekend
2024-03-31,weekend_school_term,weekend
2024-04-01,regular_school_day,normal_business_day
2024-04-02,regular_school_day,normal_business_day
2024-04-03,regular_school_day,normal_business_day
2024-04-04,regular_school_day,normal_business_day
2024-04-05,regular_school_day,normal_business_day
2024-04-06,weekend_school_term,weekend
2024-04-07,weekend_school_term,weekend
2024-04-08,regular_school_day,normal_business_day
2024-04-09,regular_school_day,normal_business_day
2024-04-10,public_holiday_school_closed,partial_business_closure
2024-04-11,regular_school_day,normal_business_day
2024-04-12,regular_school_day,normal_business_day
2024-04-13,weekend_school_term,weekend
2024-04-14,weekend_school_term,weekend
2024-04-15,regular_school_day,normal_business_day
2024-04-16,regular_school_day,normal_business_day
2024-04-17,regular_school_day,normal_business_day
2024-04-18,regular_school_day,normal_business_day
2024-04-19,regular_school_day,normal_business_day
2024-04-20,weekend_school_term,weekend
2024-04-21,weekend_school_term,weekend
2024-04-22,regular_school_day,normal_business_day
2024-04-23,regular_school_day,normal_business_day
2024-04-24,regular_school_day,normal_business_day
2024-04-25,regular_school_day,normal_business_day
2024-04-26,regular_school_day,normal_business_day
2024-04-27,weekend_school_term,weekend
2024-04-28,weekend_school_term,weekend
2024-04-29,regular_school_day,normal_business_day
2024-04-30,regular_school_day,normal_business_day
2024-05-01,regular_school_day,normal_business_day
2024-05-02,regular_school_day,normal_business_day
2024-05-03,regular_school_day,normal_business_day
2024-05-04,weekend_school_term,weekend
2024-05-05,weekend_school_term,weekend
2024-05-06,regular_school_day,normal_business_day
2024-05-07,regular_school_day,normal_business_day
2024-05-08,regular_school_day,normal_business_day
2024-05-09,regular_school_day,normal_business_day
2024-05-10,regular_school_day,normal_business_day
2024-05-11,weekend_school_term,weekend
2024-05-12,weekend_school_term,weekend
2024-05-13,regular_school_day,normal_business_day
2024-05-14,regular_school_day,normal_business_day
2024-05-15,regular_school_day,normal_business_day
2024-05-16,regular_school_day,normal_business_day
2024-05-17,regular_school_day,normal_business_day
2024-05-18,weekend_school_term,weekend
2024-05-19,weekend_school_term,weekend
2024-05-20,regular_school_day,normal_business_day
2024-05-21,regular_school_day,normal_business_day
2024-05-22,regular_school_day,normal_business_day
2024-05-23,regular_school_day,normal_business_day
2024-05-24,regular_school_day,normal_business_day
2024-05-25,weekend_school_term,weekend
2024-05-26,weekend_school_term,weekend
2024-05-27,public_holiday_school_closed,major_business_closure
2024-05-28,regular_school_day,normal_business_day
2024-05-29,regular_school_day,normal_business_day
2024-05-30,regular_school_day,normal_business_day
2024-05-31,regular_school_day,normal_business_day
2024-06-01,weekend_school_term,weekend
2024-06-02,weekend_school_term,weekend
2024-06-03,regular_school_day,normal_business_day
2024-06-04,regular_school_day,normal_business_day
2024-06-05,regular_school_day,normal_business_day
2024-06-06,summer_break_weekday,normal_business_day
2024-06-07,summer_break_weekday,normal_business_day
2024-06-08,weekend_school_break,weekend
2024-06-09,weekend_school_break,weekend
2024-06-10,summer_break_weekday,normal_business_day
2024-06-11,summer_break_weekday,normal_business_day
2024-06-12,summer_break_weekday,normal_business_day
2024-06-13,summer_break_weekday,normal_business_day
2024-06-14,summer_break_weekday,normal_business_day
2024-06-15,weekend_school_break,weekend
2024-06-16,weekend_school_break,weekend
2024-06-17,summer_break_weekday,normal_business_day
2024-06-18,summer_break_weekday,normal_business_day
2024-06-19,public_holiday_school_closed,partial_business_closure
2024-06-20,summer_break_weekday,normal_business_day
2024-06-21,summer_break_weekday,normal_business_day
2024-06-22,weekend_school_break,weekend
2024-06-23,weekend_school_break,weekend
2024-06-24,summer_break_weekday,normal_business_day
2024-06-25,summer_break_weekday,normal_business_day
2024-06-26,summer_break_weekday,normal_business_day
2024-06-27,summer_break_weekday,normal_business_day
2024-06-28,summer_break_weekday,normal_business_day
2024-06-29,weekend_school_break,weekend
2024-06-30,weekend_school_break,weekend
2024-07-01,summer_break_weekday,normal_business_day
2024-07-02,summer_break_weekday,normal_business_day
2024-07-03,summer_break_weekday,normal_business_day
2024-07-04,summer_break_weekday,major_business_closure
2024-07-05,summer_break_weekday,normal_business_day
2024-07-06,weekend_school_break,weekend
2024-07-07,weekend_school_break,weekend
2024-07-08,summer_break_weekday,normal_business_day
2024-07-09,summer_break_weekday,normal_business_day
2024-07-10,summer_break_weekday,normal_business_day
2024-07-11,summer_break_weekday,normal_business_day
2024-07-12,summer_break_weekday,normal_business_day
2024-07-13,weekend_school_break,weekend
2024-07-14,weekend_school_break,weekend
2024-07-15,summer_break_weekday,normal_business_day
2024-07-16,summer_break_weekday,normal_business_day
2024-07-17,summer_break_weekday,normal_business_day
2024-07-18,summer_break_weekday,normal_business_day
2024-07-19,summer_break_weekday,normal_business_day
2024-07-20,weekend_school_break,weekend
2024-07-21,weekend_school_break,weekend
2024-07-22,summer_break_weekday,normal_business_day
2024-07-23,summer_break_weekday,normal_business_day
2024-07-24,summer_break_weekday,normal_business_day
2024-07-25,summer_break_weekday,normal_business_day
2024-07-26,summer_break_weekday,normal_business_day
2024-07-27,weekend_school_break,weekend
2024-07-28,weekend_school_break,weekend
2024-07-29,summer_break_weekday,normal_business_day
2024-07-30,summer_break_weekday,normal_business_day
2024-07-31,summer_break_weekday,normal_business_day
